last_name,first_name,player_id,year,player_age,p_formatted_ip,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Lowther, Zac,675912,2022,26,5.1,.337,.468,.373,.389,.131,89,18.9,4.2,
Karinchak, James,675916,2022,26,39.0,.181,.279,.267,.294,.098,91,26.6,5.3,
Howard, Spencer,675921,2022,25,37.2,.275,.500,.358,.338,.225,91.4,13.8,10.7,
Naughton, Packy,676050,2022,26,32.0,.255,.392,.301,.298,.137,87.1,10,6.9,
Junk, Janson,676083,2022,26,8.1,.220,.348,.281,.284,.128,88.5,-0.1,4.3,
Snider, Collin,676092,2022,26,34.1,.301,.465,.371,.380,.164,89.6,6.9,7.1,
Jones, Damon,676103,2022,27,4.2,.202,.243,.351,.448,.041,87.3,21.6,0,
Butto, Jose,676130,2022,24,4.0,.299,.521,.380,.360,.222,89,24.8,18.8,
Tetreault, Jackson,676194,2022,26,21.0,.308,.562,.404,.380,.254,92.8,13.9,9.1,
Abbott, Cory,676265,2022,26,48.0,.200,.419,.325,.313,.219,90.3,23.8,12.1,
Clement, Ernie,676391,2022,26,2.0,.453,.768,.482,.416,.315,91.6,5.2,18.2,
Whitlock, Garrett,676477,2022,26,78.1,.228,.367,.278,.267,.139,88.8,15.3,8,
Faucher, Calvin,676534,2022,26,21.1,.276,.501,.371,.356,.224,90.7,12.3,13,
Fleming, Josh,676596,2022,26,35.0,.263,.421,.323,.320,.158,90.4,-3.7,7.9,
Sanders, Phoenix,676637,2022,27,14.2,.265,.455,.323,.300,.190,92.9,15.5,9.5,
Sulser, Beau,676641,2022,28,22.1,.216,.351,.280,.295,.135,86.6,9,5.7,
Solomon, Jared,676660,2022,25,8.1,.158,.243,.251,.288,.085,90.9,22.6,4.2,
Sears, JP,676664,2022,26,70.0,.258,.425,.327,.323,.167,90.5,17.3,9,
Vest, Will,676684,2022,27,63.0,.240,.382,.311,.312,.142,87.8,5.8,7.1,
Crawford, Kutter,676710,2022,26,77.1,.253,.438,.331,.322,.185,89.7,17.1,8.8,
Hughes, Brandon,676714,2022,26,57.2,.217,.393,.305,.308,.176,88.8,19,11.1,
Romero, Tommy,676720,2022,24,8.1,.336,.804,.523,.472,.468,94.5,21.2,25,
Marinaccio, Ron,676760,2022,26,44.0,.156,.238,.257,.296,.082,84.5,16.6,5.3,
Whitley, Kodi,676831,2022,27,12.2,.271,.462,.382,.403,.190,90.2,15.7,8.3,
Peacock, Matt,676840,2022,28,10.0,.254,.350,.299,.321,.095,87.9,2,5.6,
Ashby, Aaron,676879,2022,24,107.1,.222,.358,.301,.310,.136,87.1,2,6.8,
Beasley, Jeremy,676886,2022,26,15.0,.180,.376,.282,.267,.196,91.1,21.4,13.2,
Cavalli, Cade,676917,2022,23,4.1,.150,.311,.305,.335,.161,89.1,13.3,16.7,
Meyer, Max,676974,2022,23,6.0,.232,.545,.356,.291,.313,89.4,13.1,16.7,
Nardi, Andrew,677053,2022,23,14.2,.264,.522,.396,.388,.258,86.8,22.4,15.6,
Kelly, Zack,677161,2022,27,13.2,.198,.343,.260,.250,.145,85,12.6,6.8,
Garcia, Luis,677651,2022,25,157.1,.228,.384,.295,.285,.156,88.4,17.1,7.8,
Bruihl, Justin,677865,2022,25,23.2,.245,.382,.300,.313,.137,86.2,15.2,6.4,
Weathers, Ryan,677960,2022,22,3.2,.226,.268,.303,.374,.041,88.1,16.4,0,
Kerr, Ray,678061,2022,27,5.0,.295,.640,.488,.451,.346,87.4,19.7,21.4,
Bello, Brayan,678394,2022,23,57.1,.247,.347,.303,.328,.100,88,5.3,5.4,
Henriquez, Ronny,678692,2022,22,11.2,.191,.334,.272,.272,.143,88.6,8,8.3,
Woods Richardson, Simeon,680573,2022,21,5.0,.365,.555,.425,.429,.190,92.1,21.1,13.3,
Gray, Josiah,680686,2022,24,148.2,.219,.419,.319,.308,.201,87.4,19.7,10.7,
Bradish, Kyle,680694,2022,25,117.2,.253,.404,.327,.331,.150,89.9,8.7,7.8,
Sandlin, Nick,680704,2022,25,44.0,.212,.297,.286,.330,.085,86.5,8,4.5,
Winder, Josh,680739,2022,25,67.0,.268,.457,.349,.331,.189,89.1,17.1,10.1,
Silseth, Chase,681217,2022,22,28.2,.306,.509,.386,.377,.202,90.9,7.5,10.9,
German, Franklin,681464,2022,24,4.0,.295,.470,.395,.418,.175,94.1,2.5,6.7,
Roberts, Ethan,681799,2022,24,7.2,.301,.576,.434,.429,.276,89.1,13.8,18.2,
Wantz, Andrew,681806,2022,26,50.1,.218,.377,.306,.307,.159,87.8,21.6,10.9,
Warren, Austin,681810,2022,26,16.0,.312,.592,.405,.363,.280,93.2,13.3,14.3,
Criswell, Cooper,681867,2022,25,3.1,.116,.153,.162,.184,.037,93.3,4.9,0,
Lee, Evan,681885,2022,25,8.2,.276,.432,.379,.411,.156,89,16.9,3.6,
Vesia, Alex,681911,2022,26,54.1,.188,.295,.261,.281,.107,87,17.4,6.6,
Hill, Garrett,682051,2022,26,60.1,.270,.471,.364,.361,.201,88.8,18.7,9.5,
Murfee, Penn,682171,2022,28,69.1,.200,.316,.254,.258,.116,85.7,19.5,5.1,
Ortiz, Luis,682847,2022,23,16.0,.179,.280,.269,.300,.101,86.1,12,2.4,
Gaddis, Hunter,683769,2022,24,7.1,.327,.787,.486,.377,.460,92,22,28.1,
Arihara, Kohei,685503,2022,29,20.0,.313,.509,.398,.404,.196,90.1,6.7,10,
Waldichuk, Ken,686610,2022,24,34.2,.246,.437,.330,.318,.191,88.7,16.9,12.1,
Brown, Hunter,686613,2022,23,20.1,.213,.316,.269,.282,.103,93.2,2.9,5.9,
Pepiot, Ryan,686752,2022,24,36.1,.193,.361,.321,.344,.168,89,24.2,10.2,
Jameson, Drey,686753,2022,24,24.1,.267,.415,.327,.326,.149,88.9,3.2,7.6,
Waites, Cole,686972,2022,24,5.2,.242,.394,.338,.363,.151,90.8,17.4,5.9,
Varland, Louie,686973,2022,24,26.0,.271,.441,.329,.320,.169,88.7,14.8,6.4,
Fisher, Nate,688010,2022,26,3.0,.166,.234,.264,.318,.068,89.5,30.8,0,
Brieske, Beau,689225,2022,24,81.2,.286,.490,.360,.340,.204,89.2,17.2,10.4,
Elder, Bryce,693821,2022,23,54.0,.243,.388,.319,.329,.145,88.2,8.8,5.8,
