Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Mark Mathias","PIT",13,56,50,12,7,3,0,2,6,8,5,0,15,1,0,0,,1,0,0.237342,0.092437,0.260504,0.354839,0.316527,0.398734,0.313929,0.715261,0.161392,4.87376,0.297674,0,0.103209,6.58952,0.186117,101.458,0.103209,0.292645,0.19805996119976044,0.49264515936374664,0.270348,748.77001953125,,,,"18032"
"Zach McKinstry","CHC",24,105,95,24,16,4,1,3,14,12,9,0,24,1,1,0,,1,1,0.252033,0.0831296,0.224939,0.369565,0.318627,0.406504,0.316894,0.725132,0.154472,5.46646,0.30855,0,-0.152245,12.6027,0.596281,104.345,-0.152245,-1.61264,0.3778422027826309,-1.3376364707946777,0.27015,716.3800048828125,,,,"19392"
"Brett Phillips","LAA",28,119,102,19,11,3,2,4,17,14,14,0,44,1,1,1,,4,0,0.190164,0.115493,0.369014,0.312977,0.289773,0.367213,0.291275,0.656986,0.177049,8.11979,0.278788,0,0.564533,11.861,-1.74621,86.7455,0.564533,0.83523,-1.2103826999664307,-0.03977048397064209,0.266692,749.969970703125,,,,"14735"
"Justin Dirden","HOU",31,133,119,27,15,7,1,4,16,22,10,0,43,3,1,0,,2,1,0.229025,0.0769231,0.319838,0.240506,0.30426,0.414966,0.314528,0.719226,0.185941,5.23876,0.314815,0,-0.113616,15.7133,0.505258,105.577,-0.113616,-1.998,0.7210378646850586,-2.423000007867813,0.266072,999,,,,"sa3014986"
"Tyler Freeman","CLE",18,77,70,18,14,3,0,1,10,10,4,0,9,3,0,0,,1,0,0.263291,0.0503432,0.116705,0.431373,0.327982,0.349367,0.303443,0.677349,0.086076,5.21481,0.292398,0,-0.0153137,8.41915,-0.38553,97.0115,-0.0153137,-0.054551,-0.27426119800657034,0.32044897973537445,0.262349,747.239990234375,,,,"22532"
"Jose Barrero","CIN",65,280,258,56,37,12,1,7,30,34,15,0,95,6,2,0,,5,2,0.21875,0.0530973,0.338496,0.156863,0.274336,0.355769,0.277859,0.630105,0.137019,4.82271,0.311024,0,0.0171378,24.9241,-7.09292,70.2723,0.0171378,0.175135,-9.653731979429722,2.6751351356506348,0.256407,651.8800048828125,,,,"23378"
"Stone Garrett","WSN",34,147,138,32,19,6,1,6,18,21,7,0,44,2,1,0,,3,1,0.233333,0.0458333,0.3,0.152778,0.275,0.428889,0.303101,0.703889,0.195556,5.30337,0.291667,0,0.137311,16.0329,-0.776016,93.0719,0.137311,0.768496,-1.0459389686584473,-1.506504237651825,0.251298,589.4600219726562,,,,"19273"
"Abraham Toro","MIL",15,63,56,14,9,3,0,2,8,8,6,0,11,1,0,0,,1,0,0.247664,0.0873181,0.170478,0.512195,0.324324,0.408879,0.321677,0.733203,0.161215,4.65388,0.274627,0,-0.0364944,7.80099,0.597165,106.791,-0.0364944,-0.413291,0.4606056176126003,-0.18829134106636047,0.251147,699.22998046875,,,,"19844"
"David Hensley","HOU",68,294,263,64,43,15,2,5,35,33,30,1,79,1,1,0,,6,2,0.244131,0.100629,0.268344,0.375,0.320755,0.370892,0.30616,0.691647,0.126761,5.00847,0.328767,0,-0.168259,32.7804,-0.837424,99.6697,-0.168259,-6.56938,-0.2775436267256737,-6.719379305839539,0.248529,624.3099975585938,,,,"25111"
"Kevin Pillar","ATL",26,112,104,26,17,5,1,4,16,15,5,0,21,2,1,0,,2,1,0.255132,0.0487805,0.184282,0.264706,0.303523,0.431085,0.317787,0.734608,0.175953,4.98814,0.281369,0,-0.157385,13.5223,0.715507,102.164,-0.157385,-0.629126,0.12426508963108063,-1.529126226902008,0.248148,748.8599853515625,,,,"12434"
